epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.977,1.65991,5.8215,0.01507,0.44687,0.35243,0.31481,0.14695,1.46467,9.30228,0.01752,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579
2,449.836,1.73573,2.39351,0.0165,0.51368,0.43101,0.42048,0.185,1.61655,5.80415,0.02092,0.0199725,0.0066575,0.0199725,0.0066575,0.0199725,0.0066575,0.0199725,0.0066575
3,623.75,1.84712,2.22556,0.01834,0.42001,0.37568,0.33108,0.1306,1.76559,9.34962,0.02296,0.0299481,0.0099827,0.0299481,0.0099827,0.0299481,0.0099827,0.0299481,0.0099827
4,800.883,1.93674,2.28116,0.01959,0.45185,0.40759,0.38829,0.16198,1.74789,5.97139,0.02369,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,977.317,1.89478,2.09261,0.01899,0.51209,0.43721,0.4484,0.20422,1.60955,2.50555,0.02076,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1154.96,1.85903,2.01318,0.01837,0.52756,0.48929,0.48339,0.20682,1.69482,2.86898,0.02286,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1325.7,1.85243,1.94882,0.01791,0.54826,0.46061,0.47227,0.203,1.70179,4.20631,0.02208,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1495.14,1.82509,1.86559,0.01773,0.59991,0.52994,0.54862,0.25378,1.57081,2.8514,0.01968,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1664.34,1.81121,1.8329,0.01755,0.5926,0.55735,0.57297,0.27043,1.53012,3.14154,0.01865,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1838.84,1.78948,1.78926,0.01714,0.61418,0.52281,0.56964,0.28417,1.52466,1.80816,0.01863,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2010.37,1.77394,1.72995,0.01708,0.5921,0.54008,0.57079,0.28417,1.52169,2.58867,0.01849,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,2178.71,1.78491,1.70054,0.01717,0.62888,0.55578,0.60599,0.29638,1.56286,2.86493,0.0191,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,2343.9,1.76976,1.67387,0.01694,0.64802,0.5409,0.59566,0.2946,1.53589,1.85788,0.01892,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,2509.09,1.7454,1.66681,0.01665,0.63798,0.56187,0.60792,0.30057,1.53668,1.70889,0.0185,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,2673.86,1.74634,1.64131,0.01649,0.65716,0.57178,0.62555,0.31893,1.48084,1.85628,0.01787,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,2837.61,1.73014,1.58619,0.01623,0.65668,0.58837,0.64056,0.32959,1.49531,1.51945,0.01779,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,3001.82,1.73573,1.58772,0.01629,0.67124,0.56796,0.63902,0.32447,1.4977,2.1105,0.01814,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,3166.01,1.71299,1.57428,0.01614,0.66243,0.59704,0.64813,0.33066,1.46713,1.56231,0.01759,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,3330.63,1.70807,1.54942,0.01586,0.6789,0.58779,0.65218,0.33262,1.47743,1.56356,0.01788,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,3495.72,1.71943,1.53302,0.01599,0.69127,0.60382,0.67207,0.35243,1.43728,1.43995,0.01677,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,3661.63,1.70269,1.52784,0.01584,0.69596,0.61043,0.68242,0.35371,1.47792,1.4069,0.01762,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,3826.58,1.70016,1.50185,0.01584,0.71201,0.61624,0.67939,0.3558,1.44593,1.64412,0.01713,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
