epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,205.939,1.70351,3.01499,1.62462,0.35948,0.3259,0.26921,0.11206,1.67488,34.4111,1.48049,0.0099661,0.00332203,0.0099661,0.00332203,0.0099661,0.00332203,0.0099661,0.00332203
2,343.705,1.75555,2.0321,1.60599,0.23447,0.22181,0.13242,0.05007,1.95613,11.1872,1.76958,0.0199612,0.00665374,0.0199612,0.00665374,0.0199612,0.00665374,0.0199612,0.00665374
3,481.815,1.9144,2.14197,1.76803,0.23857,0.19596,0.12466,0.04483,2.14249,510.386,2.16949,0.0299368,0.00997894,0.0299368,0.00997894,0.0299368,0.00997894,0.0299368,0.00997894
4,626.428,1.96392,2.19122,1.8327,0.41445,0.34155,0.30479,0.11535,1.86015,37.521,1.7507,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,765.96,1.84777,1.95311,1.73641,0.49222,0.43054,0.41847,0.18003,1.656,24.9271,1.56763,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,907.124,1.78823,1.85655,1.69063,0.54276,0.4771,0.46033,0.20332,1.64976,24.6914,1.52371,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1042.49,1.74752,1.76751,1.64927,0.54544,0.4907,0.49735,0.23254,1.5985,13.051,1.43997,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1169.73,1.71302,1.70095,1.63254,0.48338,0.49951,0.4861,0.22536,1.56172,13.9788,1.43527,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1296.18,1.68107,1.64569,1.60259,0.56947,0.50472,0.5256,0.24939,1.58164,9.8192,1.44249,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1423.38,1.66298,1.6133,1.58806,0.60819,0.54298,0.56477,0.28229,1.4648,7.15006,1.34749,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1549.36,1.64778,1.5658,1.57293,0.60488,0.52348,0.55375,0.26979,1.50184,18.5047,1.39589,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1675.29,1.62784,1.53454,1.55286,0.61639,0.55421,0.58115,0.28863,1.49016,10.3073,1.36567,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1801.45,1.607,1.51316,1.54691,0.615,0.57576,0.59694,0.29383,1.48104,10.0424,1.36333,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1927.27,1.59741,1.47131,1.53539,0.67561,0.57965,0.64212,0.32438,1.41673,9.10108,1.29485,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,2053.2,1.59245,1.46817,1.5296,0.67819,0.57483,0.64303,0.33223,1.42414,3.37343,1.28992,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,2179.62,1.58334,1.43973,1.51336,0.67781,0.55892,0.62477,0.32518,1.44421,7.00017,1.31212,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,2306.26,1.58504,1.44843,1.51639,0.67837,0.59103,0.64123,0.33135,1.38768,6.84877,1.28166,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,2432.29,1.56546,1.4101,1.50227,0.6716,0.61102,0.66516,0.34849,1.38537,7.55557,1.2848,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,2559,1.54922,1.39077,1.49483,0.69289,0.59752,0.65549,0.34395,1.37877,4.94983,1.27256,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,4192.84,1.54128,1.37043,1.47713,0.71062,0.60776,0.67749,0.35643,1.3706,2.92244,1.25701,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,4320.62,1.53769,1.36583,1.47892,0.69659,0.62611,0.68319,0.36449,1.36961,4.34499,1.25189,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,4455.01,1.53278,1.35825,1.47592,0.70367,0.62095,0.68856,0.37052,1.34506,5.9989,1.22991,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,4584.44,1.52946,1.34614,1.46857,0.70534,0.61955,0.69159,0.36795,1.36173,4.64006,1.24996,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,4712.15,1.51422,1.32378,1.45838,0.72201,0.63405,0.70076,0.37448,1.34259,2.37363,1.22661,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,4838.53,1.50587,1.31833,1.45756,0.72628,0.63839,0.7073,0.3799,1.34914,4.38583,1.23823,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,4964.32,1.50797,1.29834,1.45853,0.7198,0.65038,0.71044,0.38693,1.32924,2.3617,1.22361,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,5090.42,1.5018,1.30013,1.44943,0.72401,0.64771,0.71268,0.38785,1.32064,2.37804,1.21901,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,5223.52,1.49376,1.27782,1.44822,0.73284,0.65497,0.72569,0.39795,1.31149,2.65604,1.20793,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,5343.82,1.4813,1.26456,1.4334,0.73171,0.66038,0.72537,0.39707,1.30259,3.47936,1.20156,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,5463.15,1.47445,1.2656,1.42862,0.72786,0.6578,0.72244,0.3963,1.30311,2.85525,1.19923,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,5582.53,1.47882,1.26722,1.43096,0.72933,0.66148,0.73306,0.40289,1.30217,2.11605,1.20067,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,5701.34,1.4669,1.23826,1.42449,0.73709,0.67671,0.73668,0.40872,1.3095,2.18091,1.20518,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,5819.28,1.46339,1.22933,1.42292,0.73297,0.67294,0.73688,0.409,1.30746,2.20461,1.20122,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,5937.02,1.46348,1.21819,1.41955,0.74542,0.67349,0.73942,0.41556,1.28127,2.04796,1.18646,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,6056.4,1.45694,1.21604,1.41114,0.73391,0.68418,0.73999,0.41197,1.29033,2.71806,1.19087,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,6174.9,1.45081,1.19645,1.40712,0.74097,0.68457,0.74464,0.41748,1.28189,2.18824,1.17919,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,6293.78,1.44204,1.1943,1.40678,0.73823,0.68756,0.74495,0.41815,1.27716,1.88742,1.18033,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,6412.76,1.43174,1.17298,1.39577,0.75198,0.6792,0.74789,0.4191,1.27291,1.80447,1.1805,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,6530.84,1.43089,1.171,1.39905,0.75006,0.67968,0.7459,0.41737,1.27724,1.98301,1.18165,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,6648.17,1.42,1.14681,1.38916,0.75367,0.68599,0.74831,0.4202,1.27021,1.864,1.17942,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,6764.88,1.41584,1.14998,1.38522,0.74869,0.6913,0.75041,0.42196,1.26588,1.93008,1.17715,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,6884.33,1.40805,1.13545,1.37831,0.74648,0.69468,0.7537,0.42397,1.26508,1.90436,1.17562,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,7002.07,1.41212,1.1306,1.38087,0.75231,0.69276,0.75393,0.42506,1.25952,1.76418,1.17117,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,7119.5,1.39391,1.1129,1.36715,0.76108,0.69258,0.75738,0.4274,1.25387,1.75997,1.16577,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,7233.84,1.40122,1.11884,1.37121,0.76065,0.69032,0.75744,0.42874,1.25335,1.59001,1.16555,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,7352.66,1.38641,1.09463,1.36092,0.76122,0.68868,0.75758,0.42927,1.24532,1.53214,1.15933,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,7473.98,1.37838,1.09151,1.3578,0.7559,0.69378,0.75884,0.43085,1.24002,1.52627,1.15392,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
