epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,292.92,1.6991,2.15306,1.59655,0.53728,0.46396,0.46192,0.20901,1.61815,8.28554,1.37728,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767
2,498.837,1.73238,1.82049,1.60614,0.43342,0.40781,0.33625,0.13745,1.83591,14.4565,1.57017,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938
3,705.32,1.903,2.11498,1.75982,0.42887,0.29251,0.26847,0.10635,1.89518,5.90479,1.6768,0.0299537,0.00998458,0.0299537,0.00998458,0.0299537,0.00998458,0.0299537,0.00998458
4,910.431,1.89399,2.07571,1.76491,0.42978,0.39841,0.35457,0.1458,1.76873,6.71526,1.54595,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1114.33,1.81051,1.91365,1.70986,0.54776,0.44095,0.46921,0.2152,1.5752,11.1421,1.42911,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1317.69,1.75957,1.80609,1.67274,0.57472,0.47036,0.50578,0.23571,1.59196,10.4294,1.43787,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1520.93,1.71268,1.71705,1.626,0.57357,0.44561,0.48012,0.22208,1.5765,6.89656,1.39185,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1723.86,1.6834,1.64631,1.61137,0.6353,0.51474,0.5604,0.27632,1.52706,3.71293,1.36963,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1926.68,1.64953,1.59716,1.57893,0.57151,0.50042,0.49893,0.23964,1.54447,6.3737,1.38288,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2130.14,1.64318,1.56569,1.5719,0.6317,0.56083,0.59095,0.28812,1.50831,2.86255,1.318,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2333.29,1.60368,1.53168,1.54671,0.66091,0.56745,0.61819,0.3123,1.4618,3.46338,1.2871,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,2541.23,1.60137,1.47951,1.52821,0.65173,0.58313,0.63295,0.31781,1.44038,4.233,1.28966,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,2745.91,1.57854,1.45791,1.51404,0.66804,0.5902,0.6472,0.33478,1.42752,2.79485,1.27943,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,2950,1.5739,1.43386,1.507,0.69448,0.59499,0.66103,0.34372,1.42355,4.7262,1.26286,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,3151.51,1.56105,1.39925,1.50529,0.69752,0.60898,0.67389,0.35325,1.40027,2.51776,1.24686,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,3353.42,1.55185,1.38849,1.49833,0.69623,0.61109,0.67038,0.35345,1.40741,3.02389,1.26668,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,3580.66,1.54126,1.38189,1.49199,0.70215,0.61471,0.68185,0.35352,1.42306,3.29208,1.25604,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
