epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,929.426,1.54417,1.58181,1.57697,0.69096,0.58284,0.64577,0.36125,1.49131,1.36194,1.45419,0.00998993,0.00332998,0.00998993,0.00332998,0.00998993,0.00332998,0.00998993,0.00332998
2,2086.95,1.4428,1.45918,1.49006,0.67921,0.58636,0.64694,0.36265,1.46325,1.36485,1.4357,0.019985,0.00666168,0.019985,0.00666168,0.019985,0.00666168,0.019985,0.00666168
3,3377.42,1.47126,1.4854,1.50484,0.62883,0.53013,0.57659,0.31158,1.58608,1.66067,1.54924,0.0299606,0.00998688,0.0299606,0.00998688,0.0299606,0.00998688,0.0299606,0.00998688
4,4583.88,1.50357,1.54576,1.54654,0.6694,0.5725,0.63153,0.34694,1.51508,1.44235,1.49599,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1111.48,1.48625,1.51871,1.52763,0.66698,0.57955,0.63675,0.35034,1.51859,1.44155,1.48451,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2274.7,1.46858,1.48803,1.51174,0.70062,0.59366,0.66368,0.38415,1.43965,1.37944,1.42309,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3564.94,1.45188,1.45998,1.49132,0.70627,0.60474,0.67867,0.40731,1.37534,1.26078,1.3789,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,4707.08,1.434,1.43407,1.49769,0.71372,0.61672,0.69028,0.41289,1.36953,1.25034,1.38395,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5987.12,1.44418,1.44156,1.49299,0.72111,0.62027,0.69948,0.42617,1.33806,1.20976,1.35996,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,7211.87,1.43134,1.43011,1.48314,0.73599,0.63304,0.71245,0.43621,1.3281,1.17882,1.34772,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,8459.22,1.42552,1.42067,1.47969,0.73571,0.63634,0.71633,0.4436,1.30669,1.1683,1.33171,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,9599.76,1.41795,1.40901,1.47387,0.74245,0.63847,0.71975,0.44967,1.27918,1.1537,1.32009,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,10683.4,1.41024,1.39946,1.4667,0.74433,0.64167,0.72585,0.45651,1.26731,1.13755,1.30989,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,12196.8,1.40316,1.39519,1.46155,0.75089,0.64294,0.72922,0.46008,1.25942,1.12424,1.30587,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,13735.3,1.39349,1.38225,1.4563,0.74809,0.64852,0.73135,0.4636,1.2532,1.11244,1.30099,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,15048.6,1.39295,1.36753,1.45852,0.74992,0.65053,0.73334,0.46577,1.24951,1.10654,1.29912,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,16637.2,1.39165,1.36206,1.45385,0.75191,0.64935,0.73426,0.46678,1.24773,1.10138,1.29759,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,17736.5,1.38386,1.35783,1.45157,0.75295,0.65141,0.73597,0.46849,1.24381,1.09778,1.29496,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,19016.3,1.38284,1.35081,1.44658,0.75673,0.6495,0.73655,0.46945,1.24093,1.0947,1.29277,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,20172,1.38176,1.3445,1.44739,0.75508,0.65106,0.73762,0.47096,1.23898,1.09132,1.29115,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,21221.8,1.37549,1.34374,1.44195,0.75525,0.65258,0.7384,0.47184,1.23645,1.0899,1.28967,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,22338.4,1.36908,1.33472,1.43627,0.75467,0.65448,0.73948,0.47282,1.23461,1.08746,1.28813,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,23495,1.3652,1.32705,1.43316,0.75628,0.6539,0.74017,0.47391,1.23212,1.08478,1.28627,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,24915.4,1.36366,1.32499,1.43226,0.75749,0.65396,0.74099,0.47488,1.2308,1.08186,1.28521,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,26019.8,1.36274,1.31883,1.43389,0.75835,0.65446,0.74188,0.47568,1.2292,1.07948,1.28437,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,27126.7,1.36118,1.31626,1.42827,0.76059,0.65356,0.74255,0.4763,1.22752,1.07762,1.28318,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,28530.7,1.35667,1.31729,1.4251,0.76014,0.6538,0.74327,0.47724,1.22581,1.07554,1.28202,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,29738.4,1.35672,1.31088,1.42474,0.76071,0.65445,0.74423,0.47804,1.22442,1.07348,1.28087,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,31421.2,1.35174,1.2994,1.4177,0.75859,0.65698,0.74478,0.47867,1.22323,1.07158,1.27957,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,988.002,1.33985,1.2898,1.41173,0.76223,0.65493,0.74589,0.47948,1.22225,1.06923,1.27842,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2222.71,1.34967,1.29748,1.41796,0.761,0.65611,0.74604,0.48027,1.22153,1.06744,1.27749,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3601.43,1.34615,1.28891,1.41271,0.76214,0.6575,0.74683,0.48087,1.22064,1.06531,1.27662,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4862.63,1.33901,1.27956,1.41586,0.76262,0.65722,0.74743,0.4813,1.21997,1.06301,1.27617,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,6186.17,1.3437,1.28334,1.41406,0.76419,0.65631,0.74782,0.48191,1.21902,1.06075,1.27527,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,7496.97,1.33639,1.28195,1.41014,0.76624,0.65642,0.74874,0.48261,1.2178,1.05871,1.27432,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
