epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6056,1.3013,0.93614,1.32856,0.83466,0.71637,0.81218,0.48002,1.38363,0.97981,1.36443,3.28767e-05,3.28767e-05,0.0671562
2,70.6782,1.29204,0.89581,1.31435,0.81191,0.75868,0.82292,0.50332,1.34505,0.93723,1.35697,6.47518e-05,6.47518e-05,0.0338547
3,94.7307,1.26363,0.87366,1.29773,0.84448,0.75126,0.8341,0.50863,1.32871,0.92116,1.33426,9.09884e-05,9.09884e-05,0.000547609
4,119.461,1.25304,0.84898,1.29084,0.85369,0.75223,0.83643,0.51452,1.32183,0.90718,1.32414,8.14503e-05,8.14503e-05,8.14503e-05
5,144.064,1.24356,0.84378,1.2775,0.85717,0.75476,0.84002,0.51608,1.32071,0.9049,1.32643,6.89058e-05,6.89058e-05,6.89058e-05
6,168.118,1.23086,0.83398,1.27616,0.8509,0.75042,0.83791,0.51665,1.31998,0.90412,1.32462,5.5e-05,5.5e-05,5.5e-05
7,192.914,1.23835,0.82628,1.27649,0.85521,0.75222,0.83887,0.51628,1.32008,0.90672,1.32433,4.10942e-05,4.10942e-05,4.10942e-05
8,217.379,1.23071,0.83025,1.27157,0.84689,0.75678,0.83606,0.51636,1.31864,0.90426,1.32252,2.85497e-05,2.85497e-05,2.85497e-05
9,241.843,1.23597,0.83316,1.27448,0.84918,0.75961,0.83683,0.51595,1.32148,0.90302,1.32397,1.85942e-05,1.85942e-05,1.85942e-05
10,265.908,1.23181,0.83136,1.2722,0.85104,0.75962,0.83718,0.51641,1.31742,0.90255,1.3219,1.22025e-05,1.22025e-05,1.22025e-05
