epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.504,1.66774,1.69667,1.62348,0.60658,0.53464,0.57603,0.31382,1.54535,1.558,1.48674,0.000164384,0.000164384,0.0672877
2,64.7614,1.56442,1.4607,1.53412,0.71652,0.55392,0.65938,0.36605,1.50019,1.39659,1.47348,0.000329216,0.000329216,0.0341192
3,89.066,1.5137,1.33743,1.4961,0.77974,0.62557,0.73306,0.41832,1.42465,1.18582,1.41318,0.000486755,0.000486755,0.000943376
4,113.951,1.46764,1.24989,1.45602,0.7503,0.67448,0.75577,0.43844,1.39646,1.12818,1.3926,0.000475476,0.000475476,0.000475476
5,138.01,1.4368,1.19915,1.43453,0.78898,0.67162,0.76894,0.44725,1.40448,1.0915,1.39528,0.000457029,0.000457029,0.000457029
6,162.389,1.39442,1.12459,1.39815,0.80039,0.66714,0.78254,0.45625,1.39128,1.05649,1.37967,0.000434099,0.000434099,0.000434099
7,186.498,1.40719,1.11893,1.3997,0.7923,0.69606,0.79274,0.47466,1.3601,1.0388,1.35618,0.000407252,0.000407252,0.000407252
8,210.954,1.37801,1.09367,1.37986,0.8103,0.72205,0.80391,0.48072,1.36014,1.00942,1.36144,0.000377148,0.000377148,0.000377148
9,235.076,1.36514,1.04805,1.36605,0.82297,0.71336,0.80579,0.48943,1.34407,0.99699,1.34641,0.000344529,0.000344529,0.000344529
10,259.05,1.35367,1.05398,1.35507,0.80808,0.73864,0.8139,0.49357,1.34343,0.97795,1.34576,0.000310198,0.000310198,0.000310198
11,291.141,1.3242,0.94228,1.33657,0.83338,0.72672,0.82353,0.49517,1.34228,0.96191,1.33731,0.000275,0.000275,0.000275
12,316.468,1.30261,0.94105,1.32882,0.82005,0.73527,0.81752,0.49473,1.34535,0.96497,1.34733,0.000239802,0.000239802,0.000239802
13,341.369,1.29256,0.9067,1.31723,0.84666,0.72729,0.82104,0.49899,1.33876,0.95764,1.33516,0.000205471,0.000205471,0.000205471
14,365.598,1.2813,0.89713,1.31076,0.8351,0.74834,0.82873,0.50374,1.33474,0.94101,1.33702,0.000172852,0.000172852,0.000172852
15,390.25,1.26544,0.88651,1.29461,0.84607,0.73447,0.82777,0.50604,1.33327,0.94091,1.33246,0.000142748,0.000142748,0.000142748
16,414.956,1.26846,0.88159,1.29943,0.84175,0.74871,0.83356,0.5086,1.32451,0.93123,1.32651,0.000115901,0.000115901,0.000115901
17,442.489,1.25274,0.87363,1.28877,0.84994,0.73123,0.83271,0.50887,1.31867,0.92466,1.32082,9.29712e-05,9.29712e-05,9.29712e-05
18,468.06,1.25363,0.86351,1.29114,0.85512,0.73465,0.83309,0.50875,1.32283,0.927,1.32197,7.45235e-05,7.45235e-05,7.45235e-05
19,491.994,1.2416,0.85826,1.27813,0.85317,0.74543,0.83555,0.51026,1.3233,0.92721,1.32397,6.10123e-05,6.10123e-05,6.10123e-05
20,516.028,1.24925,0.85845,1.28903,0.84965,0.74978,0.83264,0.51069,1.31659,0.92063,1.31773,5.27701e-05,5.27701e-05,5.27701e-05
