epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,357.559,1.71835,3.43258,0.01597,0.52706,0.42903,0.42262,0.19546,1.60342,2.68951,0.02084,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767,0.00998302,0.00332767
2,611.825,1.76236,1.91068,0.01717,0.49486,0.3941,0.38571,0.17224,1.67521,2.35471,0.02208,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938
3,861.933,1.90355,2.11598,0.01936,0.40487,0.38453,0.33337,0.13517,1.76763,4.20614,0.02413,0.0299537,0.00998458,0.0299537,0.00998458,0.0299537,0.00998458,0.0299537,0.00998458
4,1104.44,1.93461,2.15976,0.01956,0.53091,0.48184,0.47406,0.20985,1.64558,2.74026,0.0221,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1358.4,1.87345,2.05201,0.01864,0.55259,0.45745,0.47134,0.21297,1.59428,2.46707,0.02068,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1609.05,1.86273,1.93073,0.01862,0.56453,0.48804,0.50154,0.22491,1.60457,1.95878,0.02035,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1872.05,1.8318,1.85641,0.01807,0.61963,0.53467,0.56071,0.26075,1.5465,2.23215,0.01975,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2111.78,1.80334,1.76475,0.01787,0.60391,0.49726,0.53988,0.25725,1.55655,1.85963,0.02013,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2348.97,1.79869,1.71925,0.01759,0.60227,0.56434,0.58635,0.28704,1.52768,1.80628,0.0191,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2585.2,1.77449,1.72573,0.01726,0.63474,0.55618,0.60329,0.28786,1.54218,1.60246,0.01906,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2820.95,1.74438,1.67762,0.017,0.65206,0.53656,0.59189,0.29022,1.51012,1.56109,0.01828,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,3057.67,1.74602,1.62604,0.01647,0.67491,0.55493,0.62805,0.31606,1.48737,1.73404,0.01821,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,3294.64,1.737,1.59516,0.01638,0.66242,0.57002,0.63734,0.32976,1.44115,1.4281,0.01761,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,3531.18,1.72836,1.56192,0.01621,0.6646,0.59715,0.64409,0.32575,1.47833,1.49034,0.01797,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,3769.6,1.72202,1.53563,0.01637,0.69347,0.59673,0.66764,0.34304,1.4668,1.45124,0.01782,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,4008.61,1.71618,1.52231,0.01626,0.66097,0.60888,0.65034,0.34326,1.43157,1.70426,0.01696,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,4246.48,1.70412,1.50259,0.01604,0.69223,0.63174,0.68405,0.35673,1.43109,1.49844,0.01715,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,4484.47,1.69345,1.47522,0.0157,0.6893,0.61166,0.6753,0.35105,1.43681,1.48873,0.01704,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,4721.27,1.6945,1.46824,0.01597,0.67476,0.62432,0.67104,0.35534,1.42064,1.35573,0.01677,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,4958.72,1.68474,1.46786,0.01554,0.69379,0.6335,0.69414,0.37264,1.40566,1.20494,0.01637,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,5196.76,1.66458,1.44121,0.01553,0.70692,0.62829,0.68915,0.36968,1.39846,1.2252,0.01643,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,5443.46,1.65871,1.42216,0.01537,0.70178,0.63846,0.705,0.38102,1.38599,1.19804,0.01627,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,5684.73,1.64959,1.40623,0.01526,0.71425,0.6316,0.69875,0.37324,1.41492,1.21879,0.01682,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,5924.42,1.64901,1.39039,0.01509,0.72325,0.62443,0.70614,0.37958,1.38067,1.19367,0.016,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,6163.25,1.64924,1.35071,0.01502,0.71681,0.6358,0.71145,0.38574,1.39574,1.16614,0.01627,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,6406.46,1.62264,1.32662,0.01484,0.72294,0.65733,0.72219,0.39885,1.35857,1.21991,0.01579,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,6647.25,1.62183,1.34137,0.0147,0.72704,0.64106,0.7206,0.39444,1.37253,1.24423,0.0159,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,6892.07,1.60853,1.31048,0.0147,0.73778,0.65417,0.72636,0.39682,1.37487,1.21136,0.01592,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,7133.58,1.61758,1.30953,0.01466,0.73988,0.65497,0.7281,0.3972,1.36634,1.16012,0.0157,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,7374.79,1.59767,1.28602,0.01445,0.74085,0.65224,0.72995,0.4063,1.35731,1.07443,0.01556,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,7616.86,1.60015,1.2833,0.0144,0.74721,0.65928,0.73363,0.40734,1.37082,1.07951,0.0156,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,7858.99,1.591,1.25963,0.01447,0.7495,0.65162,0.73555,0.41361,1.3495,1.0535,0.01546,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,8099.62,1.59385,1.26531,0.01438,0.74475,0.66809,0.74449,0.41601,1.34377,1.10843,0.01539,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,8341.95,1.58516,1.22615,0.01406,0.77263,0.67129,0.75011,0.42311,1.33056,1.03246,0.01522,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,8584.35,1.58722,1.22781,0.01397,0.75915,0.6757,0.75188,0.42393,1.35391,0.98111,0.01548,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,8826.12,1.56846,1.19864,0.01393,0.75387,0.68487,0.7526,0.42436,1.33202,1.02203,0.01511,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,9068.93,1.55536,1.19632,0.01383,0.74901,0.68679,0.7549,0.42708,1.32424,1.02251,0.01494,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,9310.8,1.55985,1.1735,0.01391,0.76977,0.68943,0.76578,0.4366,1.33413,0.9564,0.01504,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,9552.83,1.55762,1.17489,0.01387,0.76622,0.68706,0.76529,0.43515,1.33209,0.96594,0.01501,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,9794.51,1.54337,1.1567,0.01339,0.76558,0.69349,0.76415,0.43526,1.32943,0.96992,0.01506,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,10043.5,1.54168,1.13936,0.01359,0.76132,0.69617,0.76492,0.43717,1.32247,0.95312,0.01491,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,10287.8,1.53042,1.1193,0.01329,0.76407,0.70108,0.77017,0.43825,1.32999,0.9546,0.01514,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,10535.4,1.52723,1.10963,0.01324,0.7644,0.70498,0.76886,0.44048,1.32574,0.93533,0.01491,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,10789.3,1.51458,1.09648,0.01324,0.77379,0.69885,0.76885,0.44506,1.31766,0.93283,0.01486,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,11026.2,1.51356,1.08899,0.01316,0.77281,0.69874,0.7724,0.44637,1.30989,0.92061,0.01464,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,11263.6,1.4988,1.06595,0.01307,0.76354,0.70525,0.76993,0.4458,1.31257,0.91283,0.0148,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,11500.5,1.4884,1.05229,0.01285,0.77618,0.70113,0.77135,0.44375,1.31843,0.92096,0.01482,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,11736.6,1.4868,1.04065,0.01277,0.78421,0.70352,0.77355,0.44734,1.31805,0.90885,0.01488,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,11973,1.48425,1.03456,0.01285,0.77781,0.7045,0.77301,0.44849,1.31353,0.89929,0.01478,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,12208.8,1.47624,1.03236,0.01263,0.77118,0.71043,0.77526,0.44911,1.31234,0.89831,0.01471,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,12444.2,1.45793,0.99397,0.01263,0.77235,0.70948,0.7733,0.44788,1.31632,0.90634,0.01489,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12681.1,1.44614,1.00964,0.01233,0.77888,0.70123,0.77287,0.45039,1.29975,0.91687,0.01459,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,12918.2,1.44072,0.98993,0.01214,0.7838,0.69161,0.7729,0.45208,1.30156,0.89684,0.01461,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,13155.4,1.43961,0.96623,0.0122,0.7679,0.71286,0.77025,0.45064,1.29749,0.90269,0.01451,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,13391.9,1.4383,0.96448,0.01217,0.77359,0.7145,0.77568,0.45361,1.30372,0.89915,0.01452,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,13627.8,1.42728,0.93037,0.01196,0.79161,0.71404,0.78001,0.45671,1.30398,0.89422,0.01449,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,13863.6,1.41269,0.92162,0.01179,0.79335,0.71124,0.78211,0.45666,1.29894,0.90407,0.0145,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,14100.3,1.40692,0.92069,0.01166,0.78735,0.71729,0.78294,0.45618,1.3015,0.89534,0.01449,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,14335.2,1.39105,0.90202,0.01144,0.77006,0.72314,0.77956,0.45463,1.30545,0.88892,0.01453,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,14571.1,1.3804,0.88021,0.0115,0.76851,0.71559,0.77641,0.45283,1.30952,0.89403,0.01464,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,14805.3,1.38403,0.88532,0.01146,0.79695,0.70148,0.77846,0.45509,1.30847,0.88532,0.01464,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,15038.1,1.37715,0.87254,0.01128,0.77097,0.72196,0.77825,0.45644,1.30988,0.88156,0.01463,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,15273.1,1.35132,0.86031,0.01104,0.79132,0.71,0.77748,0.45684,1.30831,0.88755,0.0146,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,15506.9,1.34653,0.83583,0.01112,0.78328,0.71806,0.77986,0.45603,1.30795,0.88903,0.01462,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,15741.8,1.33197,0.82335,0.01079,0.78566,0.72248,0.77916,0.45513,1.30415,0.89676,0.01455,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,15976.3,1.33065,0.80873,0.01069,0.78547,0.7211,0.77731,0.45454,1.30599,0.90307,0.01462,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,16210.3,1.31742,0.80598,0.01057,0.79125,0.72139,0.77844,0.45548,1.30609,0.90256,0.0146,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,16444.8,1.3155,0.79015,0.01063,0.78942,0.72507,0.77926,0.45557,1.30984,0.8961,0.01464,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,16678.6,1.30995,0.79113,0.01051,0.78796,0.72325,0.778,0.45626,1.30871,0.90022,0.01466,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,16911.6,1.30246,0.79576,0.01034,0.78753,0.72416,0.77847,0.45681,1.30853,0.89963,0.01466,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,17145.9,1.28276,0.77262,0.01022,0.78547,0.72638,0.77768,0.45747,1.31286,0.89359,0.01472,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,17381.6,1.28505,0.77423,0.01022,0.79188,0.725,0.77782,0.45759,1.31302,0.89642,0.01473,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
